nfeatures,contrastThreshold,edgeThreshold,trees,checks,ratio,ransacReprojThreshold,inliers,RMSE,NCC,MI,error_angular,error_tx,error_ty,error_escala
1000,0.04,5,4,100,0.6,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.0026120070756405767,0.0024154633427233563,0.0006598001409008347
1000,0.04,5,4,100,0.6,2.0,53,8.24425,0.986276,1.1880777130817126,0.0033054053558601026,0.043875413877252356,0.006718492061574821,0.017132090885441098
1000,0.04,5,4,100,0.7,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.002612007075637024,0.0024154633427233563,0.0006598001409008347
1000,0.04,5,4,100,0.7,2.0,55,7.711207,0.9879453,1.1971750557824394,0.006334127801210343,0.08513158018848088,0.014824598520348786,0.03292155378898931
1000,0.04,5,6,50,0.6,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.0026120070756405767,0.0024154633427233563,0.0006598001409008347
1000,0.04,5,6,50,0.6,2.0,53,8.24425,0.986276,1.1880777130817126,0.0033054053558601026,0.043875413877252356,0.006718492061574821,0.017132090885441098
1000,0.04,5,6,50,0.7,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.002612007075637024,0.0024154633427233563,0.0006598001409008347
1000,0.04,5,6,50,0.7,2.0,55,7.711207,0.9879453,1.1971750557824394,0.006334127801210343,0.08513158018848088,0.014824598520348786,0.03292155378898931
1000,0.04,5,6,100,0.6,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.0026120070756405767,0.0024154633427233563,0.0006598001409008347
1000,0.04,5,6,100,0.6,2.0,53,8.24425,0.986276,1.1880777130817126,0.0033054053558601026,0.043875413877252356,0.006718492061574821,0.017132090885441098
1000,0.04,5,6,100,0.7,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.002612007075637024,0.0024154633427233563,0.0006598001409008347
1000,0.04,5,6,100,0.7,2.0,55,7.711207,0.9879453,1.1971750557824394,0.006334127801210343,0.08513158018848088,0.014824598520348786,0.03292155378898931
1000,0.04,10,4,50,0.6,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
1000,0.04,10,4,50,0.6,2.0,150,8.601941,0.98510206,1.1824578573788491,0.001982521115593272,0.007263749518244822,0.002814039863761053,0.005060495204978199
1000,0.04,10,4,50,0.7,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
1000,0.04,10,4,50,0.7,2.0,152,8.375907,0.98584884,1.1860015959126062,0.003738406078156231,0.022831728128771545,0.005118562014761352,0.01185248014928808
1000,0.04,10,4,100,0.6,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
1000,0.04,10,4,100,0.6,2.0,150,8.601941,0.98510206,1.1824578573788491,0.001982521115593272,0.007263749518244822,0.002814039863761053,0.005060495204978199
1000,0.04,10,4,100,0.7,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
1000,0.04,10,4,100,0.7,2.0,152,8.375907,0.98584884,1.1860015959126062,0.003738406078156231,0.022831728128771545,0.005118562014761352,0.01185248014928808
1000,0.04,10,6,50,0.6,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
1000,0.04,10,6,50,0.6,2.0,150,8.601941,0.98510206,1.1824578573788491,0.001982521115593272,0.007263749518244822,0.002814039863761053,0.005060495204978199
1000,0.04,10,6,50,0.7,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
1000,0.04,10,6,50,0.7,2.0,152,8.375907,0.98584884,1.1860015959126062,0.003738406078156231,0.022831728128771545,0.005118562014761352,0.01185248014928808
1000,0.04,10,6,100,0.6,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
1000,0.04,10,6,100,0.6,2.0,150,8.601941,0.98510206,1.1824578573788491,0.001982521115593272,0.007263749518244822,0.002814039863761053,0.005060495204978199
1000,0.04,10,6,100,0.7,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
1000,0.04,10,6,100,0.7,2.0,152,8.375907,0.98584884,1.1860015959126062,0.003738406078156231,0.022831728128771545,0.005118562014761352,0.01185248014928808
